Filename,Material,Thickness,Energy,Displacements,Energydeposit
cdte-1900-580-96,cdte,1900,580,30372.510194641556,1079914.1363653815
cdteneutron-1300-1030-96,cdteneutron,1300,1030,7295.232456479018,37333.473970419014
cdteneutron-1100-530-96,cdteneutron,1100,530,13102.943460760622,26618.54371172524
cdte-1800-430-96,cdte,1800,430,30781.909386277686,1213107.4785859678
cdte-1000-680-96,cdte,1000,680,27105.755522397798,1092538.6586198306
si-726-980-96,si,726,980,1605078.6623348542,1508622.1911837198
si-494-1330-96,si,494,1330,1759912.6324231883,1787587.0999284652
cdte-1600-1080-96,cdte,1600,1080,2255065.695570559,935088.972785643
si-378-1180-96,si,378,1180,1882193.713449729,1865567.2391098812
cdte-2000-30-96,cdte,2000,30,4041.750503004634,44025.45050300466
cdte-1600-780-96,cdte,1600,780,27846.683770558673,984889.0467954887
cdteneutron-1800-680-96,cdteneutron,1800,680,8822.29712627769,49057.171059714296
cdteneutron-2000-580-96,cdteneutron,2000,580,9157.633353004634,53668.137646782045
cdteneutron-2000-1280-96,cdteneutron,2000,1280,9460.250183004635,49188.91952951864
cdteneutron-1700-530-96,cdteneutron,1700,530,14487.549828925732,59954.90405354674
cdte-1500-980-96,cdte,1500,980,2253476.358962196,956048.4417116635
cdteneutron-1700-180-96,cdteneutron,1700,180,8258.417838925734,14930.740365177731
si-494-130-96,si,494,130,999.5551031882958,1458454.3702286691
cdteneutron-1000-930-96,cdteneutron,1000,930,6713.310842397798,63253.4827880361
si-726-930-96,si,726,930,1605594.9382348545,1504923.4678233992
si-552-130-96,si,552,130,1116.7179546654525,1545615.768130101
si-494-1230-96,si,494,1230,1763679.2402031883,1733382.8286760803
cdteneutron-2000-130-96,cdteneutron,2000,130,12989.497093004637,19894.467408236636
cdte-1400-1180-96,cdte,1400,1180,1938064.417354843,963503.3459975842
cdte-1000-1130-96,cdte,1000,1130,2392778.9729223973,1054607.9152070498
cdteneutron-1100-480-96,cdteneutron,1100,480,12608.73225076062,20977.147589861022
si-552-280-96,si,552,280,2516.7179546654525,1888703.5489592457
cdteneutron-1000-330-96,cdteneutron,1000,330,6625.252952397799,23553.142547734795
cdte-1100-280-96,cdte,1100,280,22661.44203076062,1270177.4079481205
si-378-680-96,si,378,680,2011387.6032497287,1879137.9127663856
cdte-1000-480-96,cdte,1000,480,29154.325222397798,1216919.724352998
si-320-280-96,si,320,280,3225.013198251605,1703884.992948534
cdteneutron-1900-330-96,cdteneutron,1900,330,9004.840344641556,23197.497127259558
cdteneutron-1900-1030-96,cdteneutron,1900,1030,8964.690194641556,63005.57698850046
cdte-1000-1080-96,cdte,1000,1080,2428757.4841223974,1059802.415431953
si-552-180-96,si,552,180,1116.7179546654525,1316146.4442557492
cdteneutron-1500-430-96,cdteneutron,1500,430,13426.638802195568,45608.46029630516
si-552-1330-96,si,552,1330,1705950.417354665,1699776.4458826012
cdte-1500-830-96,cdte,1500,830,213213.63966219558,985741.6449530354
si-552-1030-96,si,552,1030,1709534.588654665,1636294.2122621953
cdteneutron-1700-1330-96,cdteneutron,1700,1330,8702.081728925732,43130.45775117663
cdte-1000-380-96,cdte,1000,380,28964.252822397797,1265243.1106556577
si-610-280-96,si,610,280,2011.4718813953332,1899409.3369087689
cdte-1900-980-96,cdte,1900,980,2119762.253194642,915473.6297200015
cdteneutron-1500-1130-96,cdteneutron,1500,1130,7769.688492195566,47014.52367649777
cdteneutron-1000-1330-96,cdteneutron,1000,1330,6453.3500123978,42087.37405670279
si-610-1030-96,si,610,1030,1666424.4595813954,1596305.591798559
cdteneutron-1500-1230-96,cdteneutron,1500,1230,7702.400802195565,42922.52273865106
cdte-1400-980-96,cdte,1400,980,2267338.968954843,975401.196901955
cdteneutron-1700-380-96,cdteneutron,1700,380,9232.538918925733,32423.197283125734
cdte-1100-930-96,cdte,1100,930,2377065.4396307603,1029503.2397354955
cdteneutron-1600-1130-96,cdteneutron,1600,1130,8007.981120558669,48765.45852240329
si-784-1180-96,si,784,1180,1511309.2104110788,1470152.024195138
cdte-1400-130-96,cdte,1400,130,2829.7204548431264,1481140.1504532099
si-494-780-96,si,494,780,1892731.9761031885,1708128.858463434
si-610-330-96,si,610,330,244097.72778139534,2069661.427764196
cdte-1900-730-96,cdte,1900,730,28620.674594641558,992371.9343473454
cdte-1200-1180-96,cdte,1200,1180,2014267.2195886201,1000067.5821736627
si-436-1230-96,si,436,1230,1810572.4638764588,1795441.9890836831
si-842-930-96,si,842,930,1489643.7088378088,1388412.7079398683
si-726-730-96,si,726,730,1731903.6099348543,1491787.6939652793
cdte-2000-680-96,cdte,2000,680,29821.51460300463,1012530.7388328746
si-320-130-96,si,320,130,648.0663982516053,1202659.4813987878
cdteneutron-1000-830-96,cdteneutron,1000,830,6590.2960223978,51733.375011839795
cdteneutron-1500-830-96,cdteneutron,1500,830,7621.708282195566,48495.51557723957
si-900-930-96,si,900,930,1463801.1665645395,1379637.5221669243
si-668-180-96,si,668,180,1351.043808125087,1486494.2445982674
cdteneutron-1600-180-96,cdteneutron,1600,180,8113.93004055867,9573.133859878672
cdte-1400-280-96,cdte,1400,280,23134.896054843124,1251572.6569871432
si-784-630-96,si,784,630,1903681.6809110788,1460537.0700856268
cdte-1200-680-96,cdte,1200,680,27712.36878861976,1065877.6746535946
cdte-1500-230-96,cdte,1500,230,13109.557262195565,1478772.9654383957
cdteneutron-1300-180-96,cdteneutron,1300,180,7255.960296479017,8929.752237979019
cdte-1300-130-96,cdte,1300,130,2627.7153464790176,1489109.795113072
si-436-830-96,si,436,830,1859512.9942764589,1756811.6228329164
cdteneutron-1400-730-96,cdteneutron,1400,730,7347.638104843127,61513.45449354052
cdte-1700-680-96,cdte,1700,680,28873.493378925734,1032072.2699593757
si-378-1030-96,si,378,1030,1848133.3368497293,1822347.7982445946
cdte-1000-880-96,cdte,1000,880,1844294.5372223975,1060613.51996072
cdte-2000-380-96,cdte,2000,380,33446.21340300463,1206103.4850641845
si-668-230-96,si,668,230,3320.9694081250873,1277953.5633160085
si-610-530-96,si,610,530,2110632.1123813954,1642292.9768889004
cdte-1800-180-96,cdte,1800,180,3637.740286277689,1861021.4553145878
cdteneutron-1800-1030-96,cdteneutron,1800,1030,8966.68723927769,60361.05514682919
cdteneutron-1500-30-96,cdteneutron,1500,30,9645.277052195566,11974.671212444564
si-842-730-96,si,842,730,1647344.608837809,1418115.4588225253
si-726-1180-96,si,726,1180,1536991.0278348543,1512132.6751263174
cdte-1500-80-96,cdte,1500,80,3031.7252621955654,890009.3134877366
cdte-1800-30-96,cdte,1800,30,3637.740286277689,48062.04028627768
cdte-1500-1330-96,cdte,1500,1330,1286497.8009521957,942330.5702179945
si-378-1280-96,si,378,1280,1887459.407349729,1887349.6451383412
si-842-180-96,si,842,180,1702.5324378087923,1695471.991327144
cdte-2000-430-96,cdte,2000,430,31270.010103004635,1198936.8781332946
cdte-1200-1230-96,cdte,1200,1230,1739697.8779686198,1004319.0038836198
cdte-1300-580-96,cdte,1300,580,31465.58494647902,1115359.057472689
si-610-80-96,si,610,80,1233.880881395333,13432.750844495335
si-842-980-96,si,842,980,1489596.5308378083,1421625.7663862398
cdteneutron-1700-230-96,cdteneutron,1700,230,8319.902938925734,11326.893133125732
cdte-1800-930-96,cdte,1800,930,2229983.3281862778,936229.4233243775
cdte-2000-780-96,cdte,2000,780,29841.122403004636,965789.3919416545
cdte-1800-80-96,cdte,1800,80,3637.740286277689,887626.9238855486
cdte-1300-1280-96,cdte,1300,1280,1492518.7418464788,982576.416672549
si-668-1130-96,si,668,1130,1627111.316908125,1558047.7067697742
cdteneutron-2000-680-96,cdteneutron,2000,680,9418.886383004638,33302.92886342194
si-726-530-96,si,726,530,2156295.1392348544,1554983.8593848157
cdte-2000-1180-96,cdte,2000,1180,1700137.710003005,887025.7666499794
si-610-980-96,si,610,980,1704889.8922813954,1599699.2776744831
cdteneutron-1300-930-96,cdteneutron,1300,930,7394.175336479018,43463.717253571514
cdteneutron-1200-780-96,cdteneutron,1200,780,7180.945488619762,45873.92410996416
cdte-1800-1280-96,cdte,1800,1280,1294380.1714162778,904314.8721884997
cdte-1500-680-96,cdte,1500,680,30073.081362195564,1040110.7569412875
si-320-580-96,si,320,580,2031254.0999982515,1929610.26257338
cdteneutron-1100-880-96,cdteneutron,1100,880,6777.159280760622,61444.63794587522
cdte-1100-980-96,cdte,1100,980,2315650.3664307604,1028188.7425002416
cdte-1100-430-96,cdte,1100,430,32064.982430760618,1240626.7364385806
cdte-1100-630-96,cdte,1100,630,27835.139330760623,1100133.3507316606
cdteneutron-1800-130-96,cdteneutron,1800,130,8875.546056277688,15586.24297737769
si-494-980-96,si,494,980,1826326.2655031888,1741013.047324439
cdte-1800-480-96,cdte,1800,480,30843.26908627769,1166246.9001311078
si-552-830-96,si,552,830,1768039.1178546657,1628650.6739683696
